# ========
# captured on: Mon Nov 10 22:26:28 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e cache-misses -o rs_32.cache -- ./dress 
# event : name = cache-misses, type = 0, config = 0x3, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16065, 16066, 16067, 16068, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 16081, 16082, 16083, 16084, 16085, 16086, 16087, 16088, 16089, 16090, 16091, 16092, 16093, 16094, 16095, 16096, 16097, 16098, 16099, 16100, 16101, 16102, 16103, 16104, 16105, 16106, 16107, 16108, 16109, 16110, 16111, 16112, 16113, 16114, 16115, 16116, 16117, 16118, 16119, 16120, 16121, 16122, 16123, 16124, 16125, 16126, 16127, 16128 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 855K of event 'cache-misses'
# Event count (approx.): 3258944643
#
# Overhead,Command,Shared Object,Symbol
2.86,          dress,[kernel.kallsyms]          ,[k] 0xffffffffa0304ba1                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2.45,          dress,libc-2.12.so               ,[.] __mcount_internal                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1.46,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::raw_reference<int>::type thrust::raw_reference_cast<int>(int&)                                                                                                                                                                                                                                                                                                                                                                                            
1.36,          dress,libChronoEngine_Parallel.so,[.] void thrust::detail::advance_iterator<long>::operator()<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>&) const                                             
1.29,          dress,dress                      ,[.] thrust::iterator_adaptor<thrust::detail::normal_iterator<float*>, float*, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default>::dereference() const                                                                                                                                                                                                                                                                   
1.20,          dress,libChronoEngine_Parallel.so,[.] thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>::get() const                                                                                                                                                                                                                                                                                                                                                           
1.07,          dress,libChronoEngine_Parallel.so,[.] real3::operator+(real3 const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                      
0.90,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int*, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::base() const                                                                                     
0.85,          dress,libChronoEngine_Parallel.so,[.] thrust::zip_iterator<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_
0.84,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<int&, int&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<int> >::operator()<thrust::detail::tuple_of_iterator_references<int&,
0.84,          dress,dress                      ,[.] thrust::detail::normal_iterator<float*>::reference thrust::iterator_core_access::dereference<thrust::detail::normal_iterator<float*> >(thrust::detail::normal_iterator<float*> const&)                                                                                                                                                                                                                                                                                    
0.78,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<int*>, int, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, int&, long>::operator*() const                                                                                                                                                                                                                                                                                                 
0.76,          dress,libc-2.12.so               ,[.] _mcount                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.74,          dress,libChronoEngine_Parallel.so,[.] thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>::operator&() const                                                                                                                                                                                                                                                                                                        
0.64,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::pointer_traits<int*>::get(int*)                                                                                                                                                                                                                                                                                                                                                                                                                           
0.64,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::raw_reference<thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const>::type thrust::raw_reference_cast<thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> >(thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_defaul
0.64,          dress,libChronoEngine_Parallel.so,[.] real3::cross(real3 const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                          
0.64,          dress,libChronoEngine_Parallel.so,[.] thrust::tuple<int&, int&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>::tuple(int&, int&)                                                                                                                                                                                                                                                                      
0.61,          dress,libChronoEngine_Parallel.so,[.] quatRotate(real3 const&, real4 const&)                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.54,          dress,dress                      ,[.] thrust::system::cpp::detail::tag& thrust::detail::derived_cast<thrust::system::cpp::detail::tag>(thrust::detail::execution_policy_base<thrust::system::cpp::detail::tag>&)                                                                                                                                                                                                                                                                                                
0.51,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<int*>, int, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, int&, long>::derived() const                                                                                                                                                                                                                                                                                                   
0.49,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::raw_reference<int>::type thrust::detail::raw_reference_caster::operator()<int>(int&)                                                                                                                                                                                                                                                                                                                                                                      
0.48,          dress,libGL.so.331.20            ,[.] 0x00000000000a8d31                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.46,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, long long&, long>::derived() const                                                                                                                                                                                                          
0.46,          dress,libChronoEngine_Parallel.so,[.] chrono::collision::ChCollisionModelParallel::AddCylinder(double, double, double, chrono::ChVector<double> const&, chrono::ChMatrix33<double> const&)                                                                                                                                                                                                                                                                                                                      
0.45,          dress,dress                      ,[.] thrust::detail::advance_iterator<long>::advance_iterator(long)                                                                                                                                                                                                                                                                                                                                                                                                            
0.44,          dress,libChronoEngine_Parallel.so,[.] mult(real4 const&, real4 const&)                                                                                                                                                                                                                                                                                                                                                                                                                                          
0.44,          dress,libChronoEngine_Parallel.so,[.] real3::operator-(real3 const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                      
0.43,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<int*>, int, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, int&, long>::derived()                                                                                                                                                                                                                                                                                                         
0.43,          dress,libnvidia-tls.so.331.20    ,[.] 0x00000000000021f0                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.43,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::pointer_traits<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> >::raw_pointer thrust::raw_pointer_cast<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> >(thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> const&)                                                                                 
0.42,          dress,libChronoEngine_Parallel.so,[.] _ZN6thrust6system3omp6detail10for_each_nINS2_5par_tENS_12zip_iteratorINS_5tupleINS_6detail15tagged_iteratorINS7_15normal_iteratorIPiEES4_EENS8_INS_7pointerIiS4_NS_11use_defaultESE_EES4_EENS_9null_typeESH_SH_SH_SH_SH_SH_SH_EEEElNS7_28host_unary_transform_functorINS_8identityIiEEEEEET0_RNS2_16execution_policyIT_EESO_T1_T2_._omp_fn.14                                                                                                                             
0.40,          dress,libChronoEngine_Parallel.so,[.] void thrust::detail::advance_iterator<long>::operator()<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>&) const                                                                                                                                                                                   
0.40,          dress,libm-2.12.so               ,[.] __sin                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.38,          dress,libChronoEngine_Parallel.so,[.] TransformLocalToParent(real3 const&, real4 const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                          
0.36,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> const& thrust::detail::get_class<0>::get<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> const&, thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp:
0.35,          dress,dress                      ,[.] thrust::detail::execution_policy_base<thrust::system::cpp::detail::tag>& thrust::detail::strip_const<thrust::system::cpp::detail::tag>(thrust::detail::execution_policy_base<thrust::system::cpp::detail::tag> const&)                                                                                                                                                                                                                                                    
